Time stamp,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,dataset_id
2016-09-01 00:00:00,83.0,2590.4,55.16,0.72,204.0,5.5,1000,0
2016-09-01 00:15:00,84.0,2582.4,53.528,0.9,193.2,5.28,990,0
2016-09-01 00:30:00,71.0,2604.8,55.816,1.02,187.8,5.32,1018,0
2016-09-01 00:45:00,73.0,2601.6,56.792,0.96,194.4,5.18,1020,0
2016-09-01 01:00:00,78.0,2606.4,55.16,0.78,197.4,8.62,1050,0
2016-09-01 01:15:00,98.0,2601.6,56.468,0.66,195.0,4.94,1088,0
2016-09-01 01:30:00,94.0,2577.6,52.552,0.84,198.0,5.3,1070,0
2016-09-01 01:45:00,92.0,2564.8,47.98,0.96,198.0,5.4,1046,0
2016-09-01 02:00:00,98.0,2564.8,47.328,0.96,193.2,6.46,1024,0
2016-09-01 02:15:00,95.0,2584.0,46.676,0.78,195.0,9.7,1010,0
2016-09-01 02:30:00,95.0,2577.6,44.064,0.72,166.8,9.84,1012,0
2016-09-01 02:45:00,105.0,2587.2,43.736,1.02,57.6,12.36,1096,0
2016-09-01 03:00:00,99.0,2572.8,43.736,0.9,54.0,9.48,1110,0
2016-09-01 03:15:00,97.0,2572.8,47.0,0.96,51.0,9.1,1042,0
2016-09-01 03:30:00,99.0,2580.8,48.308,0.66,148.8,5.48,1040,0
2016-09-01 03:45:00,94.0,2585.6,45.696,0.72,185.4,5.1,1050,0
2016-09-01 04:00:00,97.0,2579.2,49.288,0.96,181.2,5.3,1014,0
2016-09-01 04:15:00,103.0,2582.4,49.288,0.9,175.8,5.28,1030,0
2016-09-01 04:30:00,91.0,2552.0,48.632,0.84,173.4,5.06,1010,0
2016-09-01 04:45:00,84.0,2566.4,49.612,0.66,184.2,5.3,962,0
2016-09-01 05:00:00,91.0,2576.0,47.98,1.14,181.2,9.7,992,0
2016-09-01 05:15:00,120.0,2587.2,46.024,1.08,183.0,13.18,940,0
2016-09-01 05:30:00,148.0,2592.0,49.288,0.9,188.4,9.66,924,0
2016-09-01 05:45:00,162.0,2569.6,47.656,0.72,191.4,9.56,886,0
2016-09-01 06:00:00,177.0,2571.2,48.308,0.66,192.0,9.46,824,0
2016-09-01 06:15:00,248.0,2604.8,47.98,1.02,206.4,9.42,822,0
2016-09-01 06:30:00,281.0,2609.6,50.264,1.44,223.2,11.34,866,0
2016-09-01 06:45:00,285.0,2611.2,48.308,4.5,246.6,12.5,882,0
2016-09-01 07:00:00,283.0,2620.8,54.184,1.92,237.0,14.78,834,0
2016-09-01 07:15:00,272.0,2620.8,59.08,7.5,232.2,13.72,860,0
2016-09-01 07:30:00,310.0,2638.4,58.424,12.6,233.4,9.4,894,0
2016-09-01 07:45:00,304.0,2654.4,70.176,12.6,248.4,8.26,898,0
2016-09-01 08:00:00,322.0,2635.2,69.848,19.14,251.4,8.28,900,0
2016-09-01 08:15:00,304.0,2628.8,66.584,19.62,289.2,11.52,914,0
2016-09-01 08:30:00,318.0,2659.2,68.872,19.2,283.8,7.84,872,0
2016-09-01 08:45:00,324.0,2651.2,71.48,24.24,251.4,12.92,892,0
2016-09-01 09:00:00,304.0,2660.8,67.564,13.8,255.6,12.68,912,0
2016-09-01 09:15:00,294.0,2659.2,72.46,6.06,264.0,13.76,924,0
2016-09-01 09:30:00,296.0,2673.6,62.996,9.06,259.8,12.96,938,0
2016-09-01 09:45:00,286.0,2680.0,61.036,20.04,253.8,10.44,920,0
2016-09-01 10:00:00,335.0,2644.8,65.932,14.58,238.8,9.68,926,0
2016-09-01 10:15:00,334.0,2646.4,64.3,14.28,114.0,9.72,958,0
2016-09-01 10:30:00,321.0,2617.6,66.584,16.14,102.6,9.74,1016,0
2016-09-01 10:45:00,310.0,2628.8,60.056,13.14,195.6,10.0,1054,0
2016-09-01 11:00:00,318.0,2622.4,62.996,14.64,228.0,9.8,1052,0
2016-09-01 11:15:00,338.0,2646.4,65.932,12.84,251.4,10.34,1056,0
2016-09-01 11:30:00,332.0,2678.4,69.524,14.7,262.8,12.04,1072,0
2016-09-01 11:45:00,309.0,2688.0,67.892,9.9,271.8,12.0,1070,0
2016-09-02 01:00:00,93.0,2617.6,57.448,0.78,174.6,5.54,880,1
2016-09-02 01:15:00,98.0,2625.6,55.816,0.6,175.2,5.48,836,1
2016-09-02 01:30:00,94.0,2616.0,59.404,0.84,178.8,8.42,856,1
2016-09-02 01:45:00,94.0,2611.2,62.996,0.9,173.4,8.16,844,1
2016-09-02 02:00:00,104.0,2636.8,62.996,0.9,169.8,9.42,826,1
2016-09-02 02:15:00,105.0,2625.6,57.12,0.6,93.0,9.62,808,1
2016-09-02 02:30:00,100.0,2628.8,57.772,0.72,82.8,7.64,786,1
2016-09-02 02:45:00,101.0,2627.2,62.344,0.84,87.6,7.04,800,1
2016-09-02 03:00:00,110.0,2628.8,56.792,0.9,171.6,7.5,786,1
2016-09-02 03:15:00,103.0,2640.0,61.036,0.66,170.4,5.26,814,1
2016-09-02 03:30:00,98.0,2625.6,62.668,0.66,162.0,5.54,832,1
2016-09-02 03:45:00,98.0,2608.0,58.1,1.02,169.8,5.56,860,1
2016-09-02 04:00:00,110.0,2616.0,64.952,0.9,174.6,5.14,898,1
2016-09-02 04:15:00,108.0,2614.4,61.688,0.72,156.0,5.06,882,1
2016-09-02 04:30:00,101.0,2606.4,63.648,0.6,167.4,7.74,874,1
2016-09-02 04:45:00,101.0,2604.8,64.3,0.66,162.6,5.94,888,1
2016-09-02 05:00:00,113.0,2604.8,63.648,0.72,151.8,6.5,910,1
2016-09-02 05:15:00,121.0,2611.2,59.404,1.14,145.2,9.6,964,1
2016-09-02 05:30:00,155.0,2624.0,59.732,0.9,172.8,10.44,988,1
2016-09-02 05:45:00,164.0,2622.4,62.016,0.78,151.2,11.68,988,1
2016-09-02 06:00:00,208.0,2635.2,52.876,0.66,120.6,13.34,994,1
2016-09-02 06:15:00,251.0,2651.2,61.688,0.84,211.8,9.36,996,1
2016-09-02 06:30:00,296.0,2636.8,62.668,1.26,278.4,9.98,1048,1
2016-09-02 06:45:00,305.0,2641.6,63.648,3.84,301.2,13.54,1016,1
2016-09-02 07:00:00,296.0,2643.2,64.628,1.8,298.8,16.86,1022,1
2016-09-02 07:15:00,306.0,2654.4,69.196,10.92,306.6,12.52,1030,1
2016-09-02 07:30:00,311.0,2676.8,63.976,19.32,276.0,9.64,1006,1
2016-09-02 07:45:00,302.0,2684.8,67.892,17.52,282.6,9.78,1052,1
2016-09-02 08:00:00,315.0,2672.0,66.584,16.98,304.2,9.98,1094,1
2016-09-02 08:15:00,299.0,2686.4,65.608,20.22,296.4,13.04,1090,1
2016-09-02 08:30:00,289.0,2689.6,65.932,19.44,298.2,14.46,1074,1
2016-09-02 08:45:00,227.0,2672.0,63.976,17.52,295.8,15.0,1062,1
2016-09-02 09:00:00,266.0,2680.0,60.384,21.36,303.6,18.06,1016,1
2016-09-02 09:15:00,300.0,2673.6,67.24,7.02,291.6,15.4,950,1
2016-09-02 09:30:00,302.0,2688.0,62.996,12.3,307.2,14.62,918,1
