Time stamp,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,LG 30,dataset_id
2017-09-01 00:00:00,4.4,8.6,0.744,5.06,20.8,20.8,19.5,11.5,0
2017-09-01 00:15:00,4.7,8.2,0.695,5.02,23.75,23.75,20.25,11.5,0
2017-09-01 00:30:00,4.2,8.2,0.732,5.2,21.6,21.6,20.25,11.5,0
2017-09-01 00:45:00,3.9,10.32,0.695,4.58,23.2,23.2,19.75,11.0,0
2017-09-01 01:00:00,3.9,10.32,0.756,4.72,21.4,21.4,20.5,11.5,0
2017-09-01 01:15:00,4.3,10.4,0.719,5.3,23.65,23.65,20.5,11.0,0
2017-09-01 01:30:00,4.3,10.52,0.841,4.94,21.45,21.45,19.75,11.5,0
2017-09-01 01:45:00,4.0,10.28,0.792,4.9,21.8,21.8,19.75,11.0,0
2017-09-01 02:00:00,4.1,10.04,0.707,5.04,22.25,22.25,20.25,11.5,0
2017-09-01 02:15:00,4.2,9.72,0.744,4.82,21.25,21.25,20.25,11.5,0
2017-09-01 02:30:00,5.1,9.8,0.744,5.12,22.7,22.7,19.75,11.0,0
2017-09-01 02:45:00,4.4,9.84,0.707,5.32,19.15,19.15,20.0,11.5,0
2017-09-01 03:00:00,4.5,9.76,0.707,4.44,24.75,24.75,21.5,11.0,0
2017-09-01 03:15:00,4.4,9.56,0.744,4.88,20.6,20.6,21.75,11.5,0
2017-09-01 03:30:00,4.6,9.44,0.768,5.44,20.75,20.75,22.25,11.0,0
2017-09-01 03:45:00,4.5,9.48,0.939,5.04,23.2,23.2,22.5,12.0,0
2017-09-01 04:00:00,4.4,9.6,0.719,4.5,20.9,20.9,22.25,12.0,0
2017-09-01 04:15:00,4.1,9.56,0.732,5.14,20.5,20.5,22.5,11.5,0
2017-09-01 04:30:00,4.4,9.64,0.744,4.9,20.65,20.65,22.25,11.0,0
2017-09-01 04:45:00,4.0,9.6,0.78,4.84,23.4,23.4,21.75,11.0,0
2017-09-01 05:00:00,4.2,9.64,0.695,5.18,19.0,19.0,22.25,11.5,0
2017-09-01 05:15:00,4.0,9.44,0.719,4.82,23.25,23.25,18.75,12.0,0
2017-09-01 05:30:00,4.6,9.4,0.768,4.78,17.75,17.75,16.75,11.0,0
2017-09-01 05:45:00,4.4,9.96,0.732,5.54,20.1,20.1,17.0,11.0,0
2017-09-01 06:00:00,4.3,10.4,0.756,7.14,20.95,20.95,17.0,11.5,0
2017-09-01 06:15:00,4.5,10.48,0.683,6.42,20.2,20.2,17.25,11.0,0
2017-09-01 06:30:00,4.1,10.48,0.732,6.78,20.65,20.65,16.75,11.0,0
2017-09-01 06:45:00,4.3,11.04,0.719,7.2,20.2,20.2,18.25,11.5,0
2017-09-01 07:00:00,4.2,11.64,0.707,8.9,22.2,22.2,21.5,10.5,0
2017-09-01 07:15:00,4.4,12.68,0.707,7.54,20.5,20.5,21.75,11.0,0
2017-09-01 07:30:00,4.5,12.44,0.695,8.02,19.853,19.853,21.75,11.0,0
2017-09-01 07:45:00,4.3,13.72,0.756,15.36,19.658,19.658,21.75,11.0,0
2017-09-01 08:00:00,3.9,13.0,0.732,23.0,19.765,19.765,21.75,11.5,0
2017-09-01 08:15:00,3.9,13.72,0.744,20.96,20.425,20.425,22.25,11.5,0
2017-09-01 08:30:00,4.6,14.64,0.78,20.8,20.138,20.138,22.0,11.5,0
2017-09-01 08:45:00,4.1,14.76,0.732,18.1,19.605,19.605,21.5,11.5,0
2017-09-01 09:00:00,4.1,15.4,0.768,21.24,19.673,19.673,22.0,11.0,0
2017-09-01 09:15:00,4.1,15.52,0.902,20.84,19.535,19.535,21.75,11.0,0
2017-09-01 09:30:00,4.0,15.96,0.719,17.02,19.72,19.72,22.0,11.0,0
2017-09-01 09:45:00,4.1,15.52,0.744,12.6,19.6,19.6,22.0,11.5,0
2017-09-01 10:00:00,4.3,14.92,0.707,20.2,19.555,19.555,22.25,11.0,0
2017-09-01 10:15:00,4.2,14.56,0.756,21.42,19.94,19.94,22.5,11.0,0
2017-09-01 10:30:00,4.3,15.12,0.732,22.68,20.175,20.175,22.25,11.5,0
2017-09-01 10:45:00,4.3,16.6,0.756,23.16,19.515,19.515,21.75,10.5,0
2017-09-01 11:00:00,4.0,17.2,1.134,20.36,19.755,19.755,22.25,10.5,0
2017-09-01 11:15:00,3.9,17.48,0.817,22.98,19.543,19.543,22.5,10.5,0
2017-09-01 11:30:00,4.9,17.4,0.805,21.02,19.608,19.608,22.5,11.0,0
2017-09-01 11:45:00,4.4,17.64,0.914,22.02,19.55,19.55,22.5,11.0,0
2017-09-02 01:00:00,4.3,6.8,0.841,4.76,21.15,21.15,14.25,11.0,1
2017-09-02 01:15:00,4.3,6.4,0.732,4.9,21.85,21.85,14.75,10.0,1
2017-09-02 01:30:00,4.4,7.0,0.768,4.4,19.9,19.9,14.5,10.0,1
2017-09-02 01:45:00,4.0,6.8,0.756,4.44,20.45,20.45,14.5,11.0,1
2017-09-02 02:00:00,4.0,7.4,0.683,4.7,20.05,20.05,14.5,10.5,1
2017-09-02 02:15:00,3.7,7.0,0.707,4.48,19.75,19.75,14.5,9.5,1
2017-09-02 02:30:00,4.9,6.8,0.732,4.64,18.55,18.55,14.75,11.0,1
2017-09-02 02:45:00,3.9,7.2,0.732,4.74,19.65,19.65,15.0,10.5,1
2017-09-02 03:00:00,4.2,6.4,0.707,4.52,19.8,19.8,15.0,11.5,1
2017-09-02 03:15:00,4.5,7.4,0.719,4.52,19.05,19.05,15.75,11.5,1
2017-09-02 03:30:00,4.3,6.8,0.732,4.92,19.0,19.0,19.75,10.5,1
2017-09-02 03:45:00,4.1,6.6,0.744,4.42,19.95,19.95,20.25,11.0,1
2017-09-02 04:00:00,4.3,7.2,0.732,4.5,20.5,20.5,19.5,11.5,1
2017-09-02 04:15:00,4.4,7.2,0.707,4.88,19.3,19.3,20.0,11.0,1
2017-09-02 04:30:00,4.1,7.2,0.707,4.16,20.6,20.6,20.25,11.0,1
2017-09-02 04:45:00,4.5,6.2,0.744,4.56,18.65,18.65,20.25,10.5,1
2017-09-02 05:00:00,4.2,7.2,0.719,4.78,19.85,19.85,19.75,10.5,1
2017-09-02 05:15:00,4.3,6.8,0.719,4.46,19.35,19.35,16.25,11.0,1
2017-09-02 05:30:00,4.6,7.2,0.683,4.74,18.75,18.75,14.25,11.0,1
2017-09-02 05:45:00,4.5,7.0,0.719,4.72,19.9,19.9,14.5,11.5,1
2017-09-02 06:00:00,4.2,6.8,0.683,4.1,18.15,18.15,14.25,20.0,1
2017-09-02 06:15:00,4.4,6.6,0.719,4.6,19.65,19.65,15.0,20.5,1
2017-09-02 06:30:00,3.8,7.0,0.695,4.84,20.45,20.45,14.25,39.0,1
2017-09-02 06:45:00,4.0,7.0,0.902,4.58,19.45,19.45,14.5,38.0,1
2017-09-02 07:00:00,3.8,6.6,0.756,4.86,19.55,19.55,14.0,40.5,1
2017-09-02 07:15:00,4.0,6.8,0.707,4.44,17.45,17.45,14.25,38.5,1
2017-09-02 07:30:00,3.8,7.0,0.78,4.32,19.313,19.313,14.75,44.0,1
2017-09-02 07:45:00,4.5,7.0,0.744,4.92,17.183,17.183,14.25,55.0,1
2017-09-02 08:00:00,5.0,6.8,0.732,4.74,19.208,19.208,14.25,44.0,1
2017-09-02 08:15:00,4.9,7.4,0.732,4.42,19.585,19.585,14.5,37.0,1
2017-09-02 08:30:00,5.1,7.6,0.695,4.7,17.203,17.203,14.25,40.0,1
2017-09-02 08:45:00,4.4,7.6,0.683,4.78,19.243,19.243,14.25,46.5,1
2017-09-02 09:00:00,4.1,8.0,0.707,4.36,19.538,19.538,14.0,35.0,1
2017-09-02 09:15:00,4.4,8.0,0.744,4.66,18.753,18.753,14.75,56.5,1
2017-09-02 09:30:00,4.1,8.4,0.707,4.94,17.573,17.573,14.75,59.0,1
2017-09-02 09:45:00,4.3,10.0,0.817,4.4,19.083,19.083,14.75,43.5,1
2017-09-02 10:00:00,4.4,12.0,0.732,4.54,19.008,19.008,14.75,44.0,1
2017-09-02 10:15:00,4.7,12.2,0.707,4.7,19.605,19.605,14.25,45.0,1
2017-09-02 10:30:00,4.3,14.4,0.707,4.48,19.103,19.103,14.5,32.5,1
2017-09-02 10:45:00,4.7,17.0,0.683,4.28,18.09,18.09,14.25,42.0,1
2017-09-02 11:00:00,4.0,18.2,0.695,4.68,20.58,20.58,15.0,54.0,1
2017-09-02 11:15:00,4.4,17.2,0.768,4.08,18.85,18.85,14.75,53.0,1
2017-09-02 11:30:00,4.4,17.2,0.683,4.04,20.61,20.61,14.5,34.0,1
2017-09-02 11:45:00,4.6,17.0,0.707,4.44,17.863,17.863,14.5,53.5,1
2017-09-02 12:00:00,4.5,17.4,0.719,4.32,21.978,21.978,14.75,24.5,1
2017-09-02 12:15:00,4.7,16.8,0.732,4.66,20.815,20.815,14.5,23.5,1
2017-09-02 12:30:00,4.3,16.4,0.719,4.5,18.56,18.56,14.5,22.5,1
2017-09-02 12:45:00,4.3,16.2,0.695,3.98,20.103,20.103,15.0,22.5,1
2017-09-03 02:00:00,4.5,6.8,0.744,4.38,20.55,20.55,21.75,95.0,2
2017-09-03 02:15:00,4.3,6.4,0.707,3.84,18.85,18.85,22.0,110.0,2
2017-09-03 02:30:00,4.1,6.8,0.707,4.5,19.5,19.5,22.25,103.5,2
2017-09-03 02:45:00,4.6,7.2,0.744,4.4,19.65,19.65,22.25,111.5,2
2017-09-03 03:00:00,4.1,6.6,0.695,3.62,18.65,18.65,22.25,89.0,2
2017-09-03 03:15:00,4.2,6.4,0.719,4.36,20.25,20.25,22.5,88.5,2
2017-09-03 03:30:00,4.2,6.8,0.732,4.44,18.05,18.05,22.5,92.0,2
2017-09-03 03:45:00,4.7,6.4,0.707,4.02,20.0,20.0,22.0,116.0,2
2017-09-03 04:00:00,4.1,6.4,0.695,4.02,18.6,18.6,22.25,107.0,2
2017-09-03 04:15:00,4.3,7.2,0.707,19.5,20.25,20.25,22.0,103.0,2
2017-09-03 04:30:00,4.5,7.0,0.683,20.58,20.2,20.2,22.25,126.0,2
2017-09-03 04:45:00,5.0,6.8,0.756,22.04,18.95,18.95,18.75,98.0,2
2017-09-03 05:00:00,5.3,6.4,0.695,25.56,19.85,19.85,16.75,89.5,2
2017-09-03 05:15:00,4.2,7.0,0.707,19.6,18.95,18.95,17.25,96.0,2
2017-09-03 05:30:00,4.0,7.4,0.695,15.28,19.55,19.55,17.0,80.5,2
2017-09-03 05:45:00,4.1,9.0,0.878,24.06,25.55,25.55,17.75,56.5,2
2017-09-03 06:00:00,5.0,12.6,5.633,24.78,32.05,32.05,19.75,49.5,2
2017-09-03 06:15:00,7.0,24.0,9.973,34.36,37.1,37.1,33.25,83.5,2
2017-09-03 06:30:00,11.0,28.8,11.802,38.02,40.65,40.65,59.75,130.5,2
2017-09-03 06:45:00,10.7,31.6,9.717,38.62,43.5,43.5,62.25,117.5,2
2017-09-03 07:00:00,10.9,32.0,12.899,41.38,44.55,44.55,64.0,126.0,2
2017-09-03 07:15:00,12.0,33.6,28.541,41.08,48.903,48.903,71.75,115.0,2
2017-09-03 07:30:00,16.7,35.4,31.98,41.14,49.765,49.765,82.0,111.5,2
2017-09-03 07:45:00,19.0,40.6,30.846,43.14,52.125,52.125,90.25,129.5,2
2017-09-03 08:00:00,18.1,37.8,28.639,46.12,50.995,50.995,89.0,141.0,2
2017-09-03 08:15:00,22.4,39.4,29.529,43.24,54.24,54.24,88.25,110.0,2
2017-09-03 08:30:00,23.6,41.6,30.053,45.88,55.038,55.038,97.75,147.5,2
2017-09-03 08:45:00,33.7,42.0,31.26,45.8,52.708,52.708,104.0,144.0,2
2017-09-03 09:00:00,38.7,43.2,29.09,42.54,54.123,54.123,105.0,122.5,2
2017-09-03 09:15:00,41.7,44.6,30.797,43.3,53.833,53.833,106.0,144.0,2
2017-09-03 09:30:00,41.1,43.2,27.225,43.36,54.305,54.305,106.0,151.0,2
2017-09-03 09:45:00,41.6,40.0,17.508,41.9,55.063,55.063,102.0,118.5,2
2017-09-03 10:00:00,39.9,40.2,12.887,41.56,54.058,54.058,103.25,105.5,2
2017-09-03 10:15:00,29.0,40.8,13.167,42.52,56.313,56.313,103.5,124.0,2
2017-09-03 10:30:00,34.1,44.8,12.241,44.0,54.943,54.943,103.25,155.0,2
2017-09-03 10:45:00,41.6,44.0,13.801,43.66,58.138,58.138,97.0,119.5,2
2017-09-03 11:00:00,52.4,44.8,14.521,43.44,56.668,56.668,92.5,130.0,2
2017-09-03 11:15:00,46.9,48.6,14.07,43.16,58.86,58.86,98.75,139.0,2
2017-09-03 11:30:00,47.6,49.4,12.777,44.5,56.225,56.225,103.0,129.5,2
2017-09-03 11:45:00,49.0,46.6,13.838,43.94,61.13,61.13,98.0,104.0,2
2017-09-03 12:00:00,48.5,46.2,13.826,43.44,58.465,58.465,105.25,138.0,2
2017-09-03 12:15:00,50.6,46.6,25.676,42.42,58.545,58.545,100.5,139.0,2
2017-09-03 12:30:00,46.4,46.2,27.688,41.34,58.763,58.763,101.75,120.5,2
2017-09-03 12:45:00,47.9,43.0,26.603,41.22,57.583,57.583,90.5,127.5,2
2017-09-03 13:00:00,24.0,42.6,29.883,37.86,59.98,59.98,88.75,121.0,2
2017-09-03 13:15:00,22.9,41.6,24.14,31.2,57.683,57.683,96.0,121.5,2
2017-09-03 13:30:00,23.6,44.0,31.565,31.16,59.893,59.893,96.0,121.0,2
2017-09-03 13:45:00,38.0,42.0,27.371,29.78,59.988,59.988,94.75,109.5,2
2017-09-04 03:00:00,4.4,9.0,0.817,4.68,20.5,20.5,21.25,79.0,3
2017-09-04 03:15:00,4.2,9.0,0.878,4.38,21.0,21.0,22.25,65.5,3
2017-09-04 03:30:00,4.2,8.6,0.988,4.82,24.9,24.9,22.5,84.0,3
2017-09-04 03:45:00,5.1,9.2,0.841,4.48,21.55,21.55,22.75,102.5,3
2017-09-04 04:00:00,4.5,9.6,0.951,4.72,21.0,21.0,22.25,100.0,3
2017-09-04 04:15:00,4.1,8.8,0.853,19.64,30.35,30.35,22.25,87.0,3
2017-09-04 04:30:00,4.5,8.6,0.866,21.14,31.15,31.15,22.5,111.5,3
2017-09-04 04:45:00,4.5,9.2,0.817,22.82,28.7,28.7,18.75,123.0,3
2017-09-04 05:00:00,4.1,8.0,0.792,26.26,28.85,28.85,17.0,96.0,3
2017-09-04 05:15:00,4.1,9.4,2.463,14.76,31.5,31.5,17.25,84.0,3
2017-09-04 05:30:00,3.9,10.4,2.39,17.54,27.75,27.75,17.25,96.5,3
2017-09-04 05:45:00,3.9,10.6,2.402,25.28,29.05,29.05,18.25,82.5,3
2017-09-04 06:00:00,4.0,15.0,7.498,33.88,37.95,37.95,20.25,78.5,3
2017-09-04 06:15:00,4.4,28.6,8.778,38.9,39.9,39.9,36.0,80.0,3
2017-09-04 06:30:00,4.7,32.6,7.669,37.14,43.25,43.25,62.5,123.0,3
2017-09-04 06:45:00,6.3,32.8,10.839,36.24,45.9,45.9,65.5,132.0,3
2017-09-04 07:00:00,6.2,30.0,24.981,38.76,49.9,49.9,66.0,124.5,3
2017-09-04 07:15:00,9.9,30.6,27.712,41.82,47.4,47.4,68.25,101.5,3
2017-09-04 07:30:00,14.3,35.6,28.371,40.38,50.913,50.913,71.75,107.0,3
2017-09-04 07:45:00,21.9,40.8,20.178,41.3,55.728,55.728,91.25,115.5,3
2017-09-04 08:00:00,22.4,41.0,31.175,40.76,56.833,56.833,88.5,105.5,3
2017-09-04 08:15:00,25.2,42.2,30.431,45.04,55.503,55.503,88.5,92.0,3
2017-09-04 08:30:00,34.8,42.0,28.59,44.72,57.77,57.77,91.0,100.0,3
2017-09-04 08:45:00,37.3,44.8,27.932,44.28,57.1,57.1,96.0,96.5,3
2017-09-04 09:00:00,41.6,44.4,27.115,40.9,55.67,55.67,98.25,102.0,3
2017-09-04 09:15:00,42.6,44.4,31.041,41.46,60.513,60.513,102.5,101.5,3
2017-09-04 09:30:00,45.4,43.2,22.421,42.7,61.223,61.223,100.0,123.5,3
2017-09-04 09:45:00,41.5,42.8,21.665,42.6,61.038,61.038,94.5,99.5,3
2017-09-04 10:00:00,39.4,42.6,25.53,44.26,60.638,60.638,95.0,72.0,3
2017-09-04 10:15:00,21.6,40.8,35.771,45.38,61.655,61.655,97.5,89.0,3
2017-09-04 10:30:00,33.4,40.2,42.635,45.96,62.645,62.645,97.0,111.0,3
2017-09-04 10:45:00,42.6,39.4,39.331,46.26,60.018,60.018,92.5,111.5,3
2017-09-04 11:00:00,45.9,42.2,46.525,44.96,62.433,62.433,91.75,119.0,3
2017-09-04 11:15:00,43.2,46.4,32.358,43.42,62.63,62.63,92.25,108.0,3
